M16             = 6.27497e-22      +/- 2.312e-21    (368.5%)
M26             = -4.35892e-21     +/- 6.084e-22    (13.96%)
M36             = -2.55443e-22     +/- 3.934e-22    (154%)
M46             = -1.19532e-21     +/- 4.764e-22    (39.86%)
M56             = -5.65783e-21     +/- 3.878e-22    (6.855%)
M66             = -1.54771e-20     +/- 1.19e-21     (7.69%)
Q16             = -0.00797364      +/- 0.02993      (375.3%)
Q26             = 0.0162861        +/- 0.006911     (42.43%)
Q36             = -0.00273317      +/- 0.007237     (264.8%)
Q46             = 0.00336564       +/- 0.003434     (102%)
Q56             = 0.0539632        +/- 0.002542     (4.71%)
Q66             = 0.109135         +/- 0.008938     (8.19%)
