M16             = 5.24701e-21      +/- 1.31e-20     (249.7%)
M26             = -5.04691e-22     +/- 4.841e-21    (959.2%)
M36             = 5.36508e-20      +/- 1.002e-19    (186.7%)
M46             = 3.40445e-20      +/- 1.976e-22    (0.5803%)
M56             = 1.62032e-20      +/- 3.384e-20    (208.9%)
M66             = 1.47866e-20      +/- 1.347e-22    (0.9112%)
Q16             = -0.0216283       +/- 0.1095       (506.4%)
Q26             = 0.0120283        +/- 0.0557       (463.1%)
Q36             = -0.129487        +/- 0.2794       (215.8%)
Q46             = -0.180819        +/- 0.01541      (8.524%)
Q56             = -0.02112         +/- 0.08082      (382.7%)
Q66             = -0.162636        +/- 0.009184     (5.647%)
