M16             = 1.23852e-21      +/- 4.299e-21    (347.1%)
M26             = -1.4767e-21      +/- 2.977e-21    (201.6%)
M36             = 8.73365e-21      +/- 3.581e-20    (410.1%)
M46             = 4.85121e-20      +/- 4.415e-21    (9.101%)
M56             = 4.90521e-21      +/- 1.224e-20    (249.6%)
M66             = 1.39896e-20      +/- 3.228e-22    (2.308%)
Q16             = 0.0120734        +/- 0.1335       (1105%)
Q26             = 0.00705881       +/- 0.04287      (607.4%)
Q36             = -0.0189401       +/- 0.1109       (585.7%)
Q46             = -0.355109        +/- 0.04791      (13.49%)
Q56             = -0.0316235       +/- 0.1406       (444.7%)
Q66             = -0.145061        +/- 0.005311     (3.661%)
