M16             = -9.25513e-20     +/- 2.46e-20     (26.58%)
M26             = -2.49467e-21     +/- 9.713e-22    (38.93%)
M36             = 2.57171e-21      +/- 7.713e-22    (29.99%)
M46             = -3.9844e-22      +/- 7.566e-23    (18.99%)
M56             = -2.16928e-21     +/- 3.471e-22    (16%)
M66             = -1.39897e-20     +/- 4.12e-21     (29.45%)
Q16             = 0.380725         +/- 0.05502      (14.45%)
Q26             = 0.0447812        +/- 0.01402      (31.3%)
Q36             = -0.0437083       +/- 0.01254      (28.69%)
Q46             = -0.000621178     +/- 0.001158     (186.4%)
Q56             = 0.00982589       +/- 0.0007986    (8.128%)
Q66             = -0.105487        +/- 0.01174      (11.13%)
