M14             = -1.17022e-20     +/- 3.191e-20    (272.7%)
M24             = -2.26579e-21     +/- 6.842e-21    (302%)
M34             = -7.84483e-22     +/- 3.344e-21    (426.2%)
M44             = 1.31042e-20      +/- 1.71e-21     (13.05%)
M54             = 2.65183e-20      +/- 6.039e-21    (22.77%)
M64             = -5.09117e-21     +/- 1.436e-20    (282%)
Q14             = 0.0260329        +/- 0.07599      (291.9%)
Q24             = 0.0199341        +/- 0.07503      (376.4%)
Q34             = 0.00796235       +/- 0.03781      (474.9%)
Q44             = -0.175793        +/- 0.003953     (2.249%)
Q54             = -0.153092        +/- 0.04324      (28.25%)
Q64             = 0.0206118        +/- 0.06177      (299.7%)
