M14             = -3.39142e-21     +/- 1.205e-20    (355.2%)
M24             = -6.30241e-22     +/- 2.3e-21      (364.9%)
M34             = -3.17865e-22     +/- 1.789e-21    (562.9%)
M44             = 1.37417e-20      +/- 7.042e-22    (5.124%)
M54             = 3.74975e-20      +/- 3.635e-21    (9.693%)
M64             = -1.77969e-21     +/- 7.643e-21    (429.4%)
Q14             = 0.00651669       +/- 0.02955      (453.4%)
Q24             = 0.000914821      +/- 0.1239       (1.354e+04%)
Q34             = 0.00233788       +/- 0.03444      (1473%)
Q44             = -0.169445        +/- 0.002324     (1.372%)
Q54             = -0.295894        +/- 0.03964      (13.4%)
Q64             = 0.0118927        +/- 0.105        (883.1%)
