M13             = -3.36766e-20     +/- 2.517e-21    (7.474%)
M23             = -3.7958e-21      +/- 2.654e-22    (6.991%)
M33             = 3.34823e-21      +/- 2.691e-22    (8.039%)
M43             = -3.9844e-22      +/- 5.267e-23    (13.22%)
M53             = -1.54949e-21     +/- 9.115e-23    (5.883%)
M63             = -1.17318e-20     +/- 8.327e-22    (7.098%)
Q13             = 0.109384         +/- 0.002915     (2.665%)
Q23             = 0.00705884       +/- 0.000599     (8.485%)
Q33             = -0.0569225       +/- 0.003993     (7.015%)
Q43             = -5.64692e-05     +/- 0.0005191    (919.3%)
Q53             = 0.0104471        +/- 0.001238     (11.85%)
Q63             = 0.0510495        +/- 0.001118     (2.19%)
