M13             = -3.40581e-20     +/- 2.269e-21    (6.662%)
M23             = -3.85742e-21     +/- 3.466e-22    (8.986%)
M33             = 3.13855e-21      +/- 2.688e-22    (8.565%)
M43             = -3.09897e-22     +/- 4.532e-23    (14.63%)
M53             = -1.49636e-21     +/- 9.375e-23    (6.265%)
M63             = -1.18912e-20     +/- 9.166e-22    (7.708%)
Q13             = 0.109722         +/- 0.001342     (1.224%)
Q23             = 0.00687811       +/- 0.0006126    (8.907%)
Q33             = -0.0531274       +/- 0.003942     (7.419%)
Q43             = -0.00222494      +/- 0.0008296    (37.29%)
Q53             = 0.01056          +/- 0.001286     (12.18%)
Q63             = 0.0511171        +/- 0.00189      (3.697%)
