M11             = 4.12828e-21      +/- 3.026e-22    (7.329%)
M21             = 2.40658e-21      +/- 2.165e-22    (8.996%)
M31             = -2.15866e-21     +/- 1.118e-21    (51.79%)
M41             = 2.21356e-22      +/- 6.856e-23    (30.97%)
M51             = -3.05471e-21     +/- 5.375e-22    (17.6%)
M61             = -8.85422e-23     +/- 5.251e-24    (5.93%)
Q11             = -0.120339        +/- 0.002995     (2.489%)
Q21             = -0.0407718       +/- 0.003354     (8.227%)
Q31             = 0.027953         +/- 0.003394     (12.14%)
Q41             = -0.00169412      +/- 0.0009583    (56.57%)
Q51             = 0.0241695        +/- 0.002875     (11.9%)
Q61             = 0.00197647       +/- 0.000599     (30.3%)
