M11             = 3.98837e-21      +/- 3.929e-22    (9.852%)
M21             = 2.48714e-21      +/- 3.627e-22    (14.58%)
M31             = -3.31572e-21     +/- 1.819e-21    (54.85%)
M41             = 4.42708e-23      +/- 1.204e-22    (271.9%)
M51             = -2.68282e-21     +/- 7.498e-22    (27.95%)
M61             = 7.08333e-29      +/- 3.817e-23    (5.389e+07%)
Q11             = -0.117989        +/- 0.003707     (3.142%)
Q21             = -0.0417656       +/- 0.005687     (13.62%)
Q31             = 0.0322221        +/- 0.006088     (18.89%)
Q41             = -0.000406587     +/- 0.001045     (257.1%)
Q51             = 0.0225204        +/- 0.003419     (15.18%)
Q61             = 0.000666351      +/- 0.0003792    (56.91%)
