M11             = 2.55843e-21      +/- 1.69e-22     (6.607%)
M21             = -3.49295e-20     +/- 2.105e-21    (6.028%)
M31             = -3.58685e-21     +/- 2.774e-22    (7.734%)
M41             = 1.15548e-20      +/- 8.034e-22    (6.953%)
M51             = 3.09898e-22      +/- 2.195e-23    (7.083%)
M61             = -9.73964e-22     +/- 4.636e-23    (4.759%)
Q11             = -0.0434824       +/- 0.002556     (5.877%)
Q21             = 0.123784         +/- 0.000479     (0.387%)
Q31             = 0.00485648       +/- 0.0004792    (9.866%)
Q41             = -0.0470966       +/- 0.001517     (3.222%)
Q51             = -0.00180706      +/- 0.000559     (30.94%)
Q61             = 0.00660707       +/- 0.0007587    (11.48%)
