M11             = 2.67299e-21      +/- 2.266e-22    (8.479%)
M21             = -3.61167e-20     +/- 3.306e-21    (9.155%)
M31             = -3.77083e-21     +/- 4.198e-22    (11.13%)
M41             = 1.20506e-20      +/- 1.227e-21    (10.19%)
M51             = 2.39063e-22      +/- 2.512e-23    (10.51%)
M61             = -8.67711e-22     +/- 1.171e-22    (13.49%)
Q11             = -0.045199        +/- 0.003384     (7.487%)
Q21             = 0.124348         +/- 0.002018     (1.623%)
Q31             = 0.00505976       +/- 0.0002883    (5.697%)
Q41             = -0.0486098       +/- 0.002734     (5.623%)
Q51             = -0.000519528     +/- 0.0003726    (71.72%)
Q61             = 0.00611011       +/- 0.001465     (23.97%)
