M15             = 3.82945e-21      +/- 8.476e-22    (22.13%)
M25             = -4.27659e-22     +/- 3.381e-23    (7.905%)
M35             = -5.72824e-21     +/- 7.903e-22    (13.8%)
M45             = -1.77084e-22     +/- 3.138e-22    (177.2%)
M55             = 7.12765e-21      +/- 7.444e-23    (1.044%)
M65             = 1.77084e-22      +/- 3.233e-22    (182.6%)
Q15             = -0.00880943      +/- 0.0119       (135.1%)
Q25             = 0.0108988        +/- 0.002036     (18.69%)
Q35             = 0.289412         +/- 0.01585      (5.477%)
Q45             = 0.00971296       +/- 0.008066     (83.04%)
Q55             = -0.21216         +/- 0.005231     (2.466%)
Q65             = -0.0138918       +/- 0.005031     (36.22%)
